filename,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
KneePushUp/12611051-A-young-man-performing-a-knee-push-up - Copy (2).jpg,933.0,235.0,0.80356526,937.0,216.0,0.69487464,933.0,211.0,0.7394211,895.0,181.0,0.84660184,888.0,176.0,0.80119216,819.0,213.0,0.70161015,839.0,247.0,0.80643773,828.0,400.0,0.7781751,825.0,422.0,0.86056733,856.0,520.0,0.79362786,846.0,571.0,0.90184873,585.0,361.0,0.84447885,586.0,377.0,0.80826163,434.0,486.0,0.68770635,415.0,546.0,0.7910256,280.0,392.0,0.76682675,230.0,406.0,0.89624274,0,KneePushUp
KneePushUp/12611051-A-young-man-performing-a-knee-push-up - Copy (3).jpg,933.0,235.0,0.80356526,937.0,216.0,0.69487464,933.0,211.0,0.7394211,895.0,181.0,0.84660184,888.0,176.0,0.80119216,819.0,213.0,0.70161015,839.0,247.0,0.80643773,828.0,400.0,0.7781751,825.0,422.0,0.86056733,856.0,520.0,0.79362786,846.0,571.0,0.90184873,585.0,361.0,0.84447885,586.0,377.0,0.80826163,434.0,486.0,0.68770635,415.0,546.0,0.7910256,280.0,392.0,0.76682675,230.0,406.0,0.89624274,0,KneePushUp
KneePushUp/12611051-A-young-man-performing-a-knee-push-up - Copy (5).jpg,933.0,235.0,0.80356526,937.0,216.0,0.69487464,933.0,211.0,0.7394211,895.0,181.0,0.84660184,888.0,176.0,0.80119216,819.0,213.0,0.70161015,839.0,247.0,0.80643773,828.0,400.0,0.7781751,825.0,422.0,0.86056733,856.0,520.0,0.79362786,846.0,571.0,0.90184873,585.0,361.0,0.84447885,586.0,377.0,0.80826163,434.0,486.0,0.68770635,415.0,546.0,0.7910256,280.0,392.0,0.76682675,230.0,406.0,0.89624274,0,KneePushUp
KneePushUp/12611051-A-young-man-performing-a-knee-push-up - Copy (6).jpg,933.0,235.0,0.80356526,937.0,216.0,0.69487464,933.0,211.0,0.7394211,895.0,181.0,0.84660184,888.0,176.0,0.80119216,819.0,213.0,0.70161015,839.0,247.0,0.80643773,828.0,400.0,0.7781751,825.0,422.0,0.86056733,856.0,520.0,0.79362786,846.0,571.0,0.90184873,585.0,361.0,0.84447885,586.0,377.0,0.80826163,434.0,486.0,0.68770635,415.0,546.0,0.7910256,280.0,392.0,0.76682675,230.0,406.0,0.89624274,0,KneePushUp
KneePushUp/12611051-A-young-man-performing-a-knee-push-up - Copy.jpg,933.0,235.0,0.80356526,937.0,216.0,0.69487464,933.0,211.0,0.7394211,895.0,181.0,0.84660184,888.0,176.0,0.80119216,819.0,213.0,0.70161015,839.0,247.0,0.80643773,828.0,400.0,0.7781751,825.0,422.0,0.86056733,856.0,520.0,0.79362786,846.0,571.0,0.90184873,585.0,361.0,0.84447885,586.0,377.0,0.80826163,434.0,486.0,0.68770635,415.0,546.0,0.7910256,280.0,392.0,0.76682675,230.0,406.0,0.89624274,0,KneePushUp
KneePushUp/12611051-A-young-man-performing-a-knee-push-up.jpg,933.0,235.0,0.80356526,937.0,216.0,0.69487464,933.0,211.0,0.7394211,895.0,181.0,0.84660184,888.0,176.0,0.80119216,819.0,213.0,0.70161015,839.0,247.0,0.80643773,828.0,400.0,0.7781751,825.0,422.0,0.86056733,856.0,520.0,0.79362786,846.0,571.0,0.90184873,585.0,361.0,0.84447885,586.0,377.0,0.80826163,434.0,486.0,0.68770635,415.0,546.0,0.7910256,280.0,392.0,0.76682675,230.0,406.0,0.89624274,0,KneePushUp
KneePushUp/169820348-woman-doing-knee-plank-exercise-flat-vector-illustration-isolated-on-white-ba - Copy (2).jpg,375.0,224.0,0.56346315,381.0,215.0,0.55106723,380.0,216.0,0.5365024,369.0,199.0,0.66644466,370.0,201.0,0.7634501,330.0,207.0,0.51437134,335.0,217.0,0.6631467,329.0,263.0,0.62503517,336.0,279.0,0.85284257,372.0,258.0,0.5973889,379.0,264.0,0.6294601,216.0,235.0,0.8516364,214.0,239.0,0.6352828,127.0,263.0,0.7893274,123.0,270.0,0.6998235,96.0,188.0,0.771755,94.0,181.0,0.68913186,0,KneePushUp
KneePushUp/169820348-woman-doing-knee-plank-exercise-flat-vector-illustration-isolated-on-white-ba - Copy (3).jpg,375.0,224.0,0.56346315,381.0,215.0,0.55106723,380.0,216.0,0.5365024,369.0,199.0,0.66644466,370.0,201.0,0.7634501,330.0,207.0,0.51437134,335.0,217.0,0.6631467,329.0,263.0,0.62503517,336.0,279.0,0.85284257,372.0,258.0,0.5973889,379.0,264.0,0.6294601,216.0,235.0,0.8516364,214.0,239.0,0.6352828,127.0,263.0,0.7893274,123.0,270.0,0.6998235,96.0,188.0,0.771755,94.0,181.0,0.68913186,0,KneePushUp
KneePushUp/169820348-woman-doing-knee-plank-exercise-flat-vector-illustration-isolated-on-white-ba - Copy (4).jpg,375.0,224.0,0.56346315,381.0,215.0,0.55106723,380.0,216.0,0.5365024,369.0,199.0,0.66644466,370.0,201.0,0.7634501,330.0,207.0,0.51437134,335.0,217.0,0.6631467,329.0,263.0,0.62503517,336.0,279.0,0.85284257,372.0,258.0,0.5973889,379.0,264.0,0.6294601,216.0,235.0,0.8516364,214.0,239.0,0.6352828,127.0,263.0,0.7893274,123.0,270.0,0.6998235,96.0,188.0,0.771755,94.0,181.0,0.68913186,0,KneePushUp
KneePushUp/169820348-woman-doing-knee-plank-exercise-flat-vector-illustration-isolated-on-white-ba - Copy (5).jpg,375.0,224.0,0.56346315,381.0,215.0,0.55106723,380.0,216.0,0.5365024,369.0,199.0,0.66644466,370.0,201.0,0.7634501,330.0,207.0,0.51437134,335.0,217.0,0.6631467,329.0,263.0,0.62503517,336.0,279.0,0.85284257,372.0,258.0,0.5973889,379.0,264.0,0.6294601,216.0,235.0,0.8516364,214.0,239.0,0.6352828,127.0,263.0,0.7893274,123.0,270.0,0.6998235,96.0,188.0,0.771755,94.0,181.0,0.68913186,0,KneePushUp
KneePushUp/169820348-woman-doing-knee-plank-exercise-flat-vector-illustration-isolated-on-white-ba - Copy (6).jpg,375.0,224.0,0.56346315,381.0,215.0,0.55106723,380.0,216.0,0.5365024,369.0,199.0,0.66644466,370.0,201.0,0.7634501,330.0,207.0,0.51437134,335.0,217.0,0.6631467,329.0,263.0,0.62503517,336.0,279.0,0.85284257,372.0,258.0,0.5973889,379.0,264.0,0.6294601,216.0,235.0,0.8516364,214.0,239.0,0.6352828,127.0,263.0,0.7893274,123.0,270.0,0.6998235,96.0,188.0,0.771755,94.0,181.0,0.68913186,0,KneePushUp
KneePushUp/169820348-woman-doing-knee-plank-exercise-flat-vector-illustration-isolated-on-white-ba - Copy.jpg,375.0,224.0,0.56346315,381.0,215.0,0.55106723,380.0,216.0,0.5365024,369.0,199.0,0.66644466,370.0,201.0,0.7634501,330.0,207.0,0.51437134,335.0,217.0,0.6631467,329.0,263.0,0.62503517,336.0,279.0,0.85284257,372.0,258.0,0.5973889,379.0,264.0,0.6294601,216.0,235.0,0.8516364,214.0,239.0,0.6352828,127.0,263.0,0.7893274,123.0,270.0,0.6998235,96.0,188.0,0.771755,94.0,181.0,0.68913186,0,KneePushUp
KneePushUp/2 - Copy (10) - Copy.jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (11) - Copy.jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (2).jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (3).jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (4).jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (5).jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (6).jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (7).jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (8) - Copy.jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (8).jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy (9) - Copy.jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2 - Copy.jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/2.jpg,233.0,91.0,0.6320678,238.0,88.0,0.8203738,239.0,88.0,0.8296701,237.0,77.0,0.7559546,236.0,78.0,0.55076194,207.0,68.0,0.8576778,213.0,73.0,0.8212366,196.0,109.0,0.72926056,203.0,117.0,0.8398938,198.0,135.0,0.6127105,209.0,156.0,0.83673954,141.0,97.0,0.6386578,140.0,98.0,0.84070957,117.0,142.0,0.733599,111.0,146.0,0.8943931,86.0,98.0,0.8609592,81.0,101.0,0.7439122,0,KneePushUp
KneePushUp/3 - Copy (2).jpg,72.0,35.0,0.75356823,75.0,29.0,0.69676006,70.0,30.0,0.8466749,86.0,24.0,0.7775169,74.0,27.0,0.5579674,107.0,37.0,0.8913524,71.0,39.0,0.84972,111.0,73.0,0.7286363,72.0,71.0,0.6945027,111.0,105.0,0.8972777,71.0,99.0,0.89063066,128.0,68.0,0.8094549,114.0,72.0,0.69886476,146.0,91.0,0.88357186,136.0,90.0,0.61193705,159.0,53.0,0.77312624,147.0,53.0,0.40791857,0,KneePushUp
KneePushUp/3 - Copy (3).jpg,72.0,35.0,0.75356823,75.0,29.0,0.69676006,70.0,30.0,0.8466749,86.0,24.0,0.7775169,74.0,27.0,0.5579674,107.0,37.0,0.8913524,71.0,39.0,0.84972,111.0,73.0,0.7286363,72.0,71.0,0.6945027,111.0,105.0,0.8972777,71.0,99.0,0.89063066,128.0,68.0,0.8094549,114.0,72.0,0.69886476,146.0,91.0,0.88357186,136.0,90.0,0.61193705,159.0,53.0,0.77312624,147.0,53.0,0.40791857,0,KneePushUp
KneePushUp/3 - Copy (4).jpg,72.0,35.0,0.75356823,75.0,29.0,0.69676006,70.0,30.0,0.8466749,86.0,24.0,0.7775169,74.0,27.0,0.5579674,107.0,37.0,0.8913524,71.0,39.0,0.84972,111.0,73.0,0.7286363,72.0,71.0,0.6945027,111.0,105.0,0.8972777,71.0,99.0,0.89063066,128.0,68.0,0.8094549,114.0,72.0,0.69886476,146.0,91.0,0.88357186,136.0,90.0,0.61193705,159.0,53.0,0.77312624,147.0,53.0,0.40791857,0,KneePushUp
KneePushUp/3 - Copy (5).jpg,72.0,35.0,0.75356823,75.0,29.0,0.69676006,70.0,30.0,0.8466749,86.0,24.0,0.7775169,74.0,27.0,0.5579674,107.0,37.0,0.8913524,71.0,39.0,0.84972,111.0,73.0,0.7286363,72.0,71.0,0.6945027,111.0,105.0,0.8972777,71.0,99.0,0.89063066,128.0,68.0,0.8094549,114.0,72.0,0.69886476,146.0,91.0,0.88357186,136.0,90.0,0.61193705,159.0,53.0,0.77312624,147.0,53.0,0.40791857,0,KneePushUp
KneePushUp/3 - Copy.jpg,72.0,35.0,0.75356823,75.0,29.0,0.69676006,70.0,30.0,0.8466749,86.0,24.0,0.7775169,74.0,27.0,0.5579674,107.0,37.0,0.8913524,71.0,39.0,0.84972,111.0,73.0,0.7286363,72.0,71.0,0.6945027,111.0,105.0,0.8972777,71.0,99.0,0.89063066,128.0,68.0,0.8094549,114.0,72.0,0.69886476,146.0,91.0,0.88357186,136.0,90.0,0.61193705,159.0,53.0,0.77312624,147.0,53.0,0.40791857,0,KneePushUp
KneePushUp/3-diamond-1502117282 - Copy (3).jpg,283.0,202.0,0.7395282,290.0,178.0,0.5847156,284.0,178.0,0.7181061,353.0,151.0,0.8615565,338.0,149.0,0.75553036,479.0,229.0,0.62887394,369.0,193.0,0.78402954,459.0,401.0,0.58243626,375.0,329.0,0.7419673,432.0,507.0,0.8362517,386.0,440.0,0.5576175,702.0,323.0,0.62423015,665.0,313.0,0.79198146,799.0,424.0,0.70787376,755.0,383.0,0.5882236,889.0,232.0,0.7395078,833.0,207.0,0.41819194,0,KneePushUp
KneePushUp/3-diamond-1502117282 - Copy (4).jpg,283.0,202.0,0.7395282,290.0,178.0,0.5847156,284.0,178.0,0.7181061,353.0,151.0,0.8615565,338.0,149.0,0.75553036,479.0,229.0,0.62887394,369.0,193.0,0.78402954,459.0,401.0,0.58243626,375.0,329.0,0.7419673,432.0,507.0,0.8362517,386.0,440.0,0.5576175,702.0,323.0,0.62423015,665.0,313.0,0.79198146,799.0,424.0,0.70787376,755.0,383.0,0.5882236,889.0,232.0,0.7395078,833.0,207.0,0.41819194,0,KneePushUp
KneePushUp/3-diamond-1502117282 - Copy (5).jpg,283.0,202.0,0.7395282,290.0,178.0,0.5847156,284.0,178.0,0.7181061,353.0,151.0,0.8615565,338.0,149.0,0.75553036,479.0,229.0,0.62887394,369.0,193.0,0.78402954,459.0,401.0,0.58243626,375.0,329.0,0.7419673,432.0,507.0,0.8362517,386.0,440.0,0.5576175,702.0,323.0,0.62423015,665.0,313.0,0.79198146,799.0,424.0,0.70787376,755.0,383.0,0.5882236,889.0,232.0,0.7395078,833.0,207.0,0.41819194,0,KneePushUp
KneePushUp/3-diamond-1502117282 - Copy (6).jpg,283.0,202.0,0.7395282,290.0,178.0,0.5847156,284.0,178.0,0.7181061,353.0,151.0,0.8615565,338.0,149.0,0.75553036,479.0,229.0,0.62887394,369.0,193.0,0.78402954,459.0,401.0,0.58243626,375.0,329.0,0.7419673,432.0,507.0,0.8362517,386.0,440.0,0.5576175,702.0,323.0,0.62423015,665.0,313.0,0.79198146,799.0,424.0,0.70787376,755.0,383.0,0.5882236,889.0,232.0,0.7395078,833.0,207.0,0.41819194,0,KneePushUp
KneePushUp/3-diamond-1502117282 - Copy.jpg,283.0,202.0,0.7395282,290.0,178.0,0.5847156,284.0,178.0,0.7181061,353.0,151.0,0.8615565,338.0,149.0,0.75553036,479.0,229.0,0.62887394,369.0,193.0,0.78402954,459.0,401.0,0.58243626,375.0,329.0,0.7419673,432.0,507.0,0.8362517,386.0,440.0,0.5576175,702.0,323.0,0.62423015,665.0,313.0,0.79198146,799.0,424.0,0.70787376,755.0,383.0,0.5882236,889.0,232.0,0.7395078,833.0,207.0,0.41819194,0,KneePushUp
KneePushUp/3-diamond-1502117282.jpg,283.0,202.0,0.7395282,290.0,178.0,0.5847156,284.0,178.0,0.7181061,353.0,151.0,0.8615565,338.0,149.0,0.75553036,479.0,229.0,0.62887394,369.0,193.0,0.78402954,459.0,401.0,0.58243626,375.0,329.0,0.7419673,432.0,507.0,0.8362517,386.0,440.0,0.5576175,702.0,323.0,0.62423015,665.0,313.0,0.79198146,799.0,424.0,0.70787376,755.0,383.0,0.5882236,889.0,232.0,0.7395078,833.0,207.0,0.41819194,0,KneePushUp
